,0,1,2,3,4,5,6,7
stam3_ncaa_ANAD_LR_0.02_ratio_1_1_200_insta.pickle-performance-aggregation.xlsx,['KNNModel_step25'],['RfModel_step5'],['NBModel_step5'],['ExtModel_step25'],['MLPModel_step5'],['VFIModel_step2'],['MLPModel_2layers_step25'],['MLPModel_3layers_step25']
stam3_ncaa_ANAD_LR_0.02_ratio_1_3_200_insta.pickle-performance-aggregation.xlsx,['KNNModel_step5'],['RfModel_step2'],['NBModel_step10'],['ExtModel_step5'],['MLPModel_step2'],['VFIModel_step10'],['MLPModel_2layers_step25'],['MLPModel_3layers_step10']
stam3_ncaa_ANAD_LR_0.1_ratio_1_1_200_insta.pickle-performance-aggregation.xlsx,['KNNModel_step2'],['RfModel_step10'],['NBModel_step2'],['ExtModel_step10'],['MLPModel_step10'],['VFIModel_step5'],['MLPModel_2layers_step10'],['MLPModel_3layers_step25']
stam3_ncaa_ANAD_LR_0.1_ratio_1_3_200_insta.pickle-performance-aggregation.xlsx,['KNNModel_step5'],['RfModel_step10'],['NBModel_step2'],['ExtModel_step2'],['MLPModel_step2'],['VFIModel_step2'],['MLPModel_2layers_step2'],['MLPModel_3layers_step2']
stam3_ncaa_CHAINS_LR_0.02_ratio_1_1_200_insta.pickle-performance-aggregation.xlsx,['KNNModel_step2'],['RfModel_step25'],['NBModel_step25'],['ExtModel_step10'],['MLPModel_step2'],['VFIModel_step25'],['MLPModel_2layers_step25'],['MLPModel_3layers_step25']
stam3_ncaa_CHAINS_LR_0.02_ratio_1_3_200_insta.pickle-performance-aggregation.xlsx,['KNNModel_step25'],['RfModel_step25'],['NBModel_step5'],['ExtModel_step25'],['MLPModel_step25'],['VFIModel_step25'],['MLPModel_2layers_step10'],['MLPModel_3layers_step10']
stam3_ncaa_CHAINS_LR_0.1_ratio_1_1_200_insta.pickle-performance-aggregation.xlsx,['KNNModel_step5'],['RfModel_step10'],['NBModel_step10'],['ExtModel_step25'],['MLPModel_step2'],['VFIModel_step25'],['MLPModel_2layers_step25'],['MLPModel_3layers_step5']
stam3_ncaa_CHAINS_LR_0.1_ratio_1_3_200_insta.pickle-performance-aggregation.xlsx,['KNNModel_step5'],['RfModel_step10'],['NBModel_step10'],['ExtModel_step25'],['MLPModel_step2'],['VFIModel_step25'],['MLPModel_2layers_step5'],['MLPModel_3layers_step5']
stam3_ncaa_voice_LR_0.02_ratio_1_1_200_insta.pickle-performance-aggregation.xlsx,['KNNModel_step2'],['RfModel_step2'],['NBModel_step2'],['ExtModel_step5'],['MLPModel_step2'],['VFIModel_step5'],['MLPModel_2layers_step2'],['MLPModel_3layers_step2']
stam3_ncaa_voice_LR_0.02_ratio_1_3_200_insta.pickle-performance-aggregation.xlsx,['KNNModel_step5'],['RfModel_step2'],['NBModel_step2'],['ExtModel_step5'],['MLPModel_step5'],['VFIModel_step10'],['MLPModel_2layers_step5'],['MLPModel_3layers_step25']
stam3_ncaa_voice_LR_0.1_ratio_1_1_200_insta.pickle-performance-aggregation.xlsx,['KNNModel_step25'],['RfModel_step5'],['NBModel_step25'],['ExtModel_step2'],['MLPModel_step10'],['VFIModel_step10'],['MLPModel_2layers_step10'],['MLPModel_3layers_step10']
stam3_ncaa_voice_LR_0.1_ratio_1_3_200_insta.pickle-performance-aggregation.xlsx,['KNNModel_step10'],['RfModel_step2'],['NBModel_step5'],['ExtModel_step25'],['MLPModel_step5'],['VFIModel_step25'],['MLPModel_2layers_step2'],['MLPModel_3layers_step5']
